epoch,batch,train_loss,val_loss
0,0,14.511771202087402,
0,1,14.744454383850098,
0,2,14.698332786560059,
0,3,14.716923713684082,
0,4,14.480639457702637,
0,5,14.399733543395996,
0,6,14.567272186279297,
0,7,14.254216194152832,
0,8,14.411738395690918,
0,9,14.190786361694336,13.982387781143188
1,0,14.36906909942627,
1,1,13.947239875793457,
1,2,13.892383575439453,
1,3,13.434627532958984,
1,4,13.532228469848633,
1,5,13.342107772827148,
1,6,13.297475814819336,
1,7,12.92676830291748,
1,8,13.192464828491211,
1,9,12.781704902648926,12.874610304832458
2,0,12.828042030334473,
2,1,12.604418754577637,
2,2,12.561254501342773,
2,3,12.397809028625488,
2,4,12.299654006958008,
2,5,12.416960716247559,
2,6,11.991000175476074,
2,7,11.777627944946289,
2,8,11.784360885620117,
2,9,11.991732597351074,11.6346435546875
3,0,11.647589683532715,
3,1,11.424993515014648,
3,2,11.267817497253418,
3,3,11.199013710021973,
3,4,11.013933181762695,
3,5,10.94428825378418,
3,6,10.837983131408691,
3,7,10.714656829833984,
3,8,10.520709037780762,
3,9,10.699475288391113,10.732836961746216
4,0,10.742716789245605,
4,1,10.382804870605469,
4,2,10.25356388092041,
4,3,10.391738891601562,
4,4,10.177228927612305,
4,5,10.161347389221191,
4,6,9.978655815124512,
4,7,9.905405044555664,
4,8,9.899506568908691,
4,9,9.785141944885254,10.179617166519165
5,0,9.979120254516602,
5,1,9.667043685913086,
5,2,9.501374244689941,
5,3,9.705682754516602,
5,4,9.846758842468262,
5,5,9.743729591369629,
5,6,9.733644485473633,
5,7,9.5675048828125,
5,8,9.621147155761719,
5,9,9.328197479248047,9.869518041610718
6,0,9.548200607299805,
6,1,9.348670959472656,
6,2,9.568502426147461,
6,3,9.377246856689453,
6,4,9.411371231079102,
6,5,9.268881797790527,
6,6,9.33731746673584,
6,7,9.486279487609863,
6,8,9.133325576782227,
6,9,9.170856475830078,9.502023220062256
7,0,9.236817359924316,
7,1,8.853615760803223,
7,2,9.229455947875977,
7,3,8.899863243103027,
7,4,9.198575973510742,
7,5,8.723590850830078,
7,6,9.153467178344727,
7,7,8.882011413574219,
7,8,8.694846153259277,
7,9,8.940497398376465,9.029297947883606
8,0,8.645794868469238,
8,1,8.713223457336426,
8,2,8.479755401611328,
8,3,8.52308464050293,
8,4,8.3811616897583,
8,5,8.454126358032227,
8,6,8.2161865234375,
8,7,8.199572563171387,
8,8,8.240983963012695,
8,9,7.972265720367432,8.76659607887268
9,0,8.178881645202637,
9,1,7.779736518859863,
9,2,7.815093517303467,
9,3,7.899326324462891,
9,4,7.487476348876953,
9,5,7.591900825500488,
9,6,7.592583656311035,
9,7,7.323756217956543,
9,8,7.261819839477539,
9,9,7.246224880218506,7.991805195808411
10,0,7.097746849060059,
10,1,7.053899765014648,
10,2,6.952469348907471,
10,3,7.1192145347595215,
10,4,6.984580039978027,
10,5,6.720872402191162,
10,6,6.945451259613037,
10,7,6.640435695648193,
10,8,6.804108142852783,
10,9,6.772773742675781,7.5076335072517395
11,0,6.3157477378845215,
11,1,6.433410167694092,
11,2,6.425826072692871,
11,3,6.5107221603393555,
11,4,6.53621768951416,
11,5,6.324616432189941,
11,6,6.26470947265625,
11,7,6.346804141998291,
11,8,6.318902492523193,
11,9,6.044158458709717,7.277931213378906
12,0,6.215953350067139,
12,1,5.856074333190918,
12,2,5.983143329620361,
12,3,5.95652437210083,
12,4,5.8547163009643555,
12,5,5.822207927703857,
12,6,5.8563032150268555,
12,7,5.784690856933594,
12,8,5.750693321228027,
12,9,5.932297229766846,6.930136620998383
13,0,5.764052867889404,
13,1,5.526305198669434,
13,2,5.610320568084717,
13,3,5.806804656982422,
13,4,5.6786675453186035,
13,5,5.365403175354004,
13,6,5.472776889801025,
13,7,5.414859294891357,
13,8,5.351440906524658,
13,9,5.42127799987793,6.595949351787567
14,0,5.222334384918213,
14,1,5.333557605743408,
14,2,5.573104381561279,
14,3,5.272188663482666,
14,4,5.150976657867432,
14,5,5.327496528625488,
14,6,5.155418872833252,
14,7,5.301427364349365,
14,8,5.190829753875732,
14,9,5.149090766906738,6.35912698507309
15,0,5.075051307678223,
15,1,5.025241374969482,
15,2,5.003914833068848,
15,3,4.918565273284912,
15,4,5.003603935241699,
15,5,5.006503105163574,
15,6,5.034789085388184,
15,7,4.9593000411987305,
15,8,4.7223029136657715,
15,9,4.999729633331299,6.1229769587516785
16,0,4.5141706466674805,
16,1,4.714315414428711,
16,2,5.043245792388916,
16,3,4.693728923797607,
16,4,5.045737266540527,
16,5,4.803054332733154,
16,6,4.6688995361328125,
16,7,4.5533294677734375,
16,8,4.5658674240112305,
16,9,4.860241413116455,6.177138090133667
17,0,4.946564197540283,
17,1,4.79583740234375,
17,2,4.747425556182861,
17,3,4.4903564453125,
17,4,4.827902793884277,
17,5,4.547489166259766,
17,6,4.647861003875732,
17,7,4.553779125213623,
17,8,4.668708801269531,
17,9,4.518817901611328,5.908740758895874
18,0,4.7811174392700195,
18,1,4.366833209991455,
18,2,4.267944812774658,
18,3,4.344454765319824,
18,4,4.573413372039795,
18,5,4.397192478179932,
18,6,4.46162223815918,
18,7,4.254026889801025,
18,8,4.243331432342529,
18,9,4.197268962860107,5.525328516960144
19,0,4.201306343078613,
19,1,4.12914514541626,
19,2,4.0657782554626465,
19,3,4.317697525024414,
19,4,4.312224388122559,
19,5,4.142658710479736,
19,6,4.170173645019531,
19,7,3.931669235229492,
19,8,4.022461891174316,
19,9,4.044407367706299,5.418268978595734
19,9,4.044407367706299,5.294875264167786
